epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_mAP,lr
1,1.891575,0.1376,3.719029,0.0645,0.0409,0.1509,0.0307,0.0094,0.01000000
2,1.703108,0.2027,2.402133,0.1803,0.0870,0.2181,0.1074,0.0354,0.00999753
3,1.609862,0.2237,2.341533,0.2513,0.1678,0.2637,0.1787,0.0993,0.00999013
4,1.673200,0.2332,2.182849,0.2632,0.1692,0.2821,0.1790,0.0703,0.00997781
5,1.567814,0.2740,2.218857,0.2724,0.2681,0.3169,0.2211,0.0821,0.00996058
6,1.460119,0.3190,2.081807,0.3605,0.2661,0.3763,0.2749,0.1506,0.00993845
7,1.524741,0.3270,2.044229,0.3645,0.3139,0.3804,0.3111,0.1556,0.00991145
8,1.443494,0.3575,1.902733,0.3974,0.3814,0.4098,0.3449,0.1743,0.00987960
9,1.387948,0.3853,2.139396,0.3342,0.4380,0.3656,0.2909,0.1585,0.00984293
10,1.385388,0.3975,1.877321,0.4171,0.4217,0.4243,0.3565,0.1711,0.00980149
11,1.333178,0.4188,1.804650,0.4763,0.4410,0.4665,0.3822,0.2230,0.00975531
12,1.329187,0.4550,1.813364,0.4868,0.4574,0.4749,0.4154,0.2302,0.00970443
13,1.261926,0.4775,1.803068,0.4592,0.4617,0.4762,0.4154,0.2172,0.00964892
14,1.242788,0.5061,1.581894,0.5513,0.5318,0.5600,0.5237,0.3179,0.00958881
15,1.173252,0.5236,1.697529,0.5171,0.5577,0.5319,0.4831,0.2885,0.00952418
16,1.228790,0.5404,1.612910,0.5645,0.5758,0.5761,0.5214,0.3218,0.00945509
17,1.135223,0.5682,1.619983,0.5816,0.5326,0.5754,0.5233,0.3310,0.00938160
18,1.083300,0.5850,1.556707,0.6053,0.6116,0.5967,0.5613,0.3693,0.00930378
19,1.098436,0.6162,1.498026,0.6039,0.5918,0.6012,0.5425,0.3488,0.00922172
20,1.064429,0.6113,1.392683,0.6645,0.6455,0.6608,0.6224,0.4256,0.00913549
21,1.059908,0.6498,1.404884,0.6592,0.6460,0.6627,0.6272,0.4337,0.00904518
22,1.003246,0.6631,1.264371,0.7263,0.7041,0.7202,0.6993,0.5158,0.00895088
23,0.947547,0.6898,1.327152,0.7276,0.7086,0.7371,0.7107,0.5234,0.00885268
24,0.902460,0.7142,1.407278,0.6868,0.6710,0.6839,0.6538,0.4636,0.00875068
25,0.950613,0.7054,1.309705,0.7092,0.7088,0.7134,0.6832,0.5049,0.00864498
26,0.916092,0.7210,1.269774,0.7434,0.7303,0.7436,0.7159,0.5426,0.00853568
27,0.920580,0.7359,1.211010,0.7671,0.7476,0.7616,0.7335,0.5616,0.00842289
28,0.879735,0.7550,1.183920,0.7789,0.7618,0.7848,0.7520,0.5889,0.00830673
29,0.889895,0.7611,1.148506,0.8066,0.7799,0.8108,0.7829,0.6291,0.00818730
30,0.834992,0.7725,1.129508,0.8079,0.7945,0.8068,0.7814,0.6334,0.00806473
31,0.798817,0.7965,1.166751,0.7829,0.7735,0.7847,0.7638,0.6030,0.00793913
32,0.809807,0.7961,1.162887,0.7882,0.7682,0.7892,0.7511,0.5962,0.00781064
33,0.781701,0.8167,1.131236,0.7987,0.7758,0.8046,0.7728,0.6172,0.00767937
34,0.786074,0.8030,1.095669,0.8263,0.8088,0.8263,0.8036,0.6624,0.00754545
35,0.795865,0.8239,1.025609,0.8395,0.8143,0.8439,0.8161,0.6821,0.00740903
36,0.750189,0.8380,1.062583,0.8263,0.8330,0.8279,0.8173,0.6843,0.00727023
37,0.728156,0.8411,1.113078,0.8132,0.7897,0.8236,0.7842,0.6429,0.00712918
38,0.723039,0.8563,0.982511,0.8658,0.8439,0.8690,0.8474,0.7284,0.00698604
39,0.718844,0.8628,0.995127,0.8566,0.8439,0.8620,0.8450,0.7245,0.00684094
40,0.703571,0.8556,1.021516,0.8618,0.8493,0.8627,0.8472,0.7316,0.00669402
41,0.710083,0.8773,0.979058,0.8855,0.8751,0.8915,0.8762,0.7755,0.00654543
42,0.703533,0.8819,0.957721,0.8855,0.8762,0.8866,0.8773,0.7757,0.00639532
43,0.697774,0.8780,1.049463,0.8382,0.8255,0.8425,0.8171,0.6863,0.00624383
44,0.675798,0.8803,0.937834,0.8921,0.8802,0.8947,0.8812,0.7840,0.00609111
45,0.679242,0.8876,0.931954,0.8921,0.8687,0.8963,0.8774,0.7770,0.00593731
46,0.664208,0.8880,0.931583,0.8895,0.8726,0.8951,0.8810,0.7809,0.00578259
47,0.671378,0.8963,0.918852,0.8934,0.8769,0.8944,0.8797,0.7811,0.00562710
48,0.659073,0.9009,0.944276,0.8947,0.8902,0.9001,0.8909,0.8000,0.00547099
